comunidad_0.8,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional
607,0.0,2,0,0.0,0,45015.5,0,3.0,1,6909.5,0,SANTIAGO CENTRO,2
608,0.0,2,0,198284.0,0,1940.5,0,38.0,1,6773.5,0,2DA UNIDAD REGIONAL ANTOFAGASTA,1
617,0.0,2,0,79832.0,1,232620.5,0,1.0,1,2912.0,1,7MA UNIDAD REGIONAL MAULE,1
653,1.0,2,2,156376.0,1,-79371.0,0,14.0,1,1590.0,1,10MA UNIDAD REGIONAL LOS LAGOS,2
606,1.0,2,2,76470.0,0,-17373829.0,0,43.0,0,1788.5,0,SANTIAGO CENTRO,1
578,1.0,2,2,2307216.5,0,-7875643.0,0,21.0,0,1764.0,0,SANTIAGO ORIENTE,2
715,1.0,2,2,505465.0,0,-95941309.0,0,46.5,0,1224.5,0,7MA UNIDAD REGIONAL MAULE,2
683,1.0,2,2,0.0,0,-26051274.5,0,15.0,0,1190.0,0,5TA UNIDAD REGIONAL VALPARAISO,1
690,1.0,2,2,0.0,0,-89574042.5,0,23.5,0,1646.0,1,8VA UNIDAD REGIONAL BIO BIO,2
695,1.0,2,1,,2,-20343657.0,0,54.0,1,862.0,0,SANTIAGO ORIENTE,1
611,0.0,2,0,2864500.0,1,124812.5,0,56.0,1,2184.0,1,SANTIAGO PONIENTE,2
632,0.0,2,0,107374.5,0,-92285.0,0,16.0,1,,2,18VA UNIDAD REGIONAL ARICA Y PARINACOTA,2
563,1.0,2,1,,2,-20916046.0,0,13.5,0,977.0,0,SANTIAGO CENTRO,2
633,0.0,2,0,136800.0,1,1617475.0,0,1.0,1,,2,8VA UNIDAD REGIONAL BIO BIO,2
620,0.0,2,0,4662184.0,1,1898403.0,0,1.0,1,2814.0,1,SANTIAGO ORIENTE,2
602,0.0,2,0,89911.0,1,94256.5,0,1.0,1,,2,6TA UNIDAD REGIONAL RANCAGUA,1
604,0.0,2,0,32465.0,1,-7850.5,0,4.0,1,1087.0,1,SANTIAGO NORTE,2
623,0.00115758710459195,2,0,0.0,0,369935.5,0,3.0,1,2480.0,1,10MA UNIDAD REGIONAL LOS LAGOS,1
621,0.00112703869728605,2,0,0.0,1,421236.0,0,3.0,1,1856.0,1,10MA UNIDAD REGIONAL LOS LAGOS,1
559,0.00107311047232075,2,0,0.0,1,2137902.0,0,1.0,1,1659.0,1,9NA UNIDAD REGIONAL TEMUCO,1
709,0.0009793310474533,2,0,191576.0,0,10617.5,0,1.0,1,6198.0,1,10MA UNIDAD REGIONAL LOS LAGOS,2
542,0.0009391112702133,2,0,870345.0,0,-2187581.0,0,5.5,0,4046.0,1,7MA UNIDAD REGIONAL MAULE,2
662,0.0007184400063063,2,0,561096.0,0,-19386.5,0,5.5,0,2143.0,0,10MA UNIDAD REGIONAL LOS LAGOS,1
555,0.00064330176394295,2,0,666727.5,0,24004.0,0,2.0,1,618.5,0,5TA UNIDAD REGIONAL VALPARAISO,1
618,0.0,2,0,4272122.0,1,-3271918.0,0,4.0,1,,2,7MA UNIDAD REGIONAL MAULE,2
609,0.0,2,0,776381.5,0,-660790.0,0,71.5,0,1918.0,1,5TA UNIDAD REGIONAL VALPARAISO,2
657,0.0,2,0,,2,0.0,0,1.0,1,2310.0,1,5TA UNIDAD REGIONAL VALPARAISO,1
729,0.0,2,0,1025.0,0,-9101908.0,0,11.0,0,1601.5,0,SANTIAGO CENTRO,1
730,0.0,2,0,37891.0,0,1189.5,0,1.0,1,692.0,1,SANTIAGO SUR,2
601,0.0,2,0,11400.0,1,0.0,0,1.0,1,599.5,0,4TA UNIDAD REGIONAL COQUIMBO,2
656,0.0,2,0,0.0,0,-27799447.0,0,100.0,1,1703.0,0,SANTIAGO CENTRO,2
655,0.0,2,0,1026.0,0,503066.5,0,5.0,1,1029.5,0,8VA UNIDAD REGIONAL BIO BIO,1
612,0.0,2,0,590520.0,1,9232.5,0,2.0,1,,2,5TA UNIDAD REGIONAL VALPARAISO,2
713,0.0,2,0,0.0,0,-4969869.5,0,44.0,0,974.0,1,SANTIAGO CENTRO,1
613,0.0,2,0,21783899.0,0,-16261286.0,0,3.0,1,3005.5,0,SANTIAGO ORIENTE,2
614,0.0,2,0,37893.0,1,0.0,0,2.0,1,10150.5,0,5TA UNIDAD REGIONAL VALPARAISO,2
719,1.0,2,1,0.0,0,34600708.5,0,7.0,0,1862.5,0,SANTIAGO CENTRO,1
615,0.0,2,0,488696.0,0,332926.0,0,17.0,1,,2,1RA UNIDAD REGIONAL IQUIQUE,2
616,0.0,2,0,3495379.0,1,42403.5,0,35.0,1,3936.0,0,SANTIAGO CENTRO,2
634,0.0,2,0,7799449.0,1,-9547314.5,0,11.0,1,1954.0,1,8VA UNIDAD REGIONAL BIO BIO,1
712,0.0,2,0,0.0,1,0.0,0,1.0,1,1980.5,0,3RA UNIDAD REGIONAL ATACAMA,2
603,0.0,2,0,0.0,0,-683716.0,0,3.0,1,950.5,0,8VA UNIDAD REGIONAL BIO BIO,1
731,0.0,2,0,427920.0,1,138990.5,0,10.0,1,1707.0,1,21VA DIRECCION REGIONAL CHILLAN,2
707,0.0,2,0,264436832.0,1,-232179547.5,0,380.0,1,3107.0,1,8VA UNIDAD REGIONAL BIO BIO,2
706,0.0,2,0,576520.0,0,-143379.0,0,3.0,0,1291.5,0,18VA UNIDAD REGIONAL ARICA Y PARINACOTA,1
679,0.0,2,0,0.0,1,2069272.0,0,1.0,1,1382.0,1,8VA UNIDAD REGIONAL BIO BIO,2
693,0.0,2,0,0.0,1,23349.0,0,1.0,1,1994.0,1,SANTIAGO CENTRO,2
694,0.0,2,0,4674976.0,1,-1337223.5,0,8.0,1,6446.0,1,9NA UNIDAD REGIONAL TEMUCO,2
549,0.0,2,0,3406461.0,1,-1110079.5,0,25.0,1,5062.0,1,19NA UNIDAD REGIONAL DE LOS RIOS,2
