,comunidad_08,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional,comunidad,perct_emision_extra,perct_recepcion_extra,emision_extragrupo,recepcion_extragrupo,tasa_emision_extra_intra
425,426,8.294841233929939e-06,10,0,44151574.0,0,-3365699.2,0,123.0,9,3697.1,0,SANTIAGO ORIENTE,10,426.0,,6.821073876994638e-05,,11768.0,
426,427,0.010317598948388745,9,0,44985720.0,8,37127967.88888889,0,121.0,8,10751.0,8,9NA UNIDAD REGIONAL TEMUCO,9,427.0,,0.9933996393073966,,173524339.0,
427,428,0.14043089014990143,9,0,107438138.0,8,349729.8888888889,0,62.0,8,4656.875,1,5TA UNIDAD REGIONAL VALPARAISO,9,428.0,0.012741352442499363,0.24116667738184433,724016.0,17829308.0,0.01290578965706884
428,429,0.026233920470099113,8,0,2088706.5,6,2674599.25,0,65.0,6,2923.0,5,8VA UNIDAD REGIONAL BIO BIO,8,429.0,0.42161646801070307,0.8304256904112959,774762.0,5204840.0,0.7289565568379723
429,430,0.024681280966174377,8,0,1920116.0,6,4108196.125,0,37.0,7,,8,10MA UNIDAD REGIONAL LOS LAGOS,8,430.0,0.4897949097255124,0.9235882005587994,574790.0,7236985.0,0.9599961252091886
430,431,0.027005277059208525,8,0,1519241.0,7,230080.625,0,37.0,7,1352.0,7,7MA UNIDAD REGIONAL MAULE,8,431.0,0.9855021927413274,0.9613662085360892,4499328.0,1647077.0,67.97594802840308
431,432,0.0242267527753626,8,0,998934.5,6,-202795.5,0,14.0,6,1696.0,6,9NA UNIDAD REGIONAL TEMUCO,8,432.0,0.9113943752774852,0.8929903108485763,3214683.0,2608055.0,10.28596523224896
432,433,0.019642347953519976,8,0,1252943.5,6,54346.5,0,34.0,7,1162.0,7,SANTIAGO SUR,8,433.0,0.10207552336949642,0.25550929743599177,202393.0,611028.0,0.11367940848715782
433,434,0.026367339226402477,8,0,0.0,7,800982.625,0,12.0,7,1489.0,7,3RA UNIDAD REGIONAL ATACAMA,8,434.0,0.0008114061497753259,0.4038836479157174,4750.0,3963036.0,0.0008120650643625674
434,435,0.061040228730285084,8,0,3167244.0,7,-16054.625,0,18.0,7,,8,7MA UNIDAD REGIONAL MAULE,8,435.0,0.2681704260651629,0.09165180859197844,203300.0,55979.0,0.3664383561643836
435,436,0.0221846822186188,7,0,0.0,6,1336533.4285714286,0,11.0,6,1687.0,6,2DA UNIDAD REGIONAL ANTOFAGASTA,7,436.0,0.04631280859091319,0.9390791915472579,21555.0,6842100.0,0.048561843975785536
436,437,0.18352574207074182,7,0,0.0,5,11463339.142857144,0,14.0,6,1942.0,6,6TA UNIDAD REGIONAL RANCAGUA,7,437.0,,0.593357434458702,,86959160.0,
437,438,0.02680302542121909,7,0,239491.0,6,247941.57142857142,0,37.0,6,1136.0,6,SANTIAGO PONIENTE,7,438.0,0.3695939011875092,0.89133528584007,47899.0,670154.0,0.5862790697674418
438,439,0.0,7,0,,7,2769668.714285714,0,19.0,6,842.0,6,SANTIAGO PONIENTE,7,439.0,,,,,
439,440,0.0,7,0,0.0,6,38962.0,0,35.0,6,1211.0,6,5TA UNIDAD REGIONAL VALPARAISO,7,440.0,0.6012485089463221,,75607.0,,1.5078276130267436
440,441,0.010876185608686148,6,0,690402.0,5,619624.1666666666,0,112.0,5,,6,SANTIAGO PONIENTE,6,441.0,0.3074068942004699,0.3559679220090125,1541850.0,1920039.0,0.44384919749612456
441,442,0.019554184996490653,6,0,1475465.3333333333,3,-2631217.1666666665,0,22.666666666666668,3,3357.0,4,1RA UNIDAD REGIONAL IQUIQUE,6,442.0,0.898126288746584,0.5546473499480649,10988356.0,1552281.0,8.81607509627728
442,443,1.000004710140283,6,6,0.0,0,-19820317.666666668,0,28.166666666666668,0,469.8333333333333,0,Sin Moda,6,443.0,0.41620534463758274,,115957906.0,,0.7129310637131548
443,444,0.031989766713777686,6,0,4220284.0,5,-1005716.3333333334,0,306.0,5,1540.0,5,SANTIAGO CENTRO,6,444.0,0.9820735601632672,0.9190715491193374,3057852.0,633891.0,54.78352473260834
444,445,1.4510286285167339e-05,6,0,68791626.0,5,1071002.8333333333,0,133.0,5,2906.5,0,SANTIAGO ORIENTE,6,445.0,,0.0004935790967018483,,13256.0,
445,446,0.009754629127405767,6,0,1360302.5,4,204789.5,0,117.0,4,1379.0,5,18VA UNIDAD REGIONAL ARICA Y PARINACOTA,6,446.0,,0.14370778528261643,,491568.0,
446,447,0.028995550122326515,6,0,2482.0,4,216368.16666666666,0,37.0,5,3145.0,5,SANTIAGO SUR,6,447.0,0.1730218287966732,0.3261191105616663,51093.0,118181.0,0.2092217604062161
