RUT_SOCIEDAD,CAPITAL,UTILIDADES
MsToY/2joRRVWD60eegXOA==,109.0,109.0
iXl2Ovj5D13sIGGuREsypw==,90.0,90.0
YDEQhFM2bL9hJCdWBrJRwg==,94.73,94.73
JwlrHeh8FIn/axjp9l4J3A==,92.40000000000008,92.40000000000008
Be6YOdEDarAPAiwU7HQKNg==,90.0,90.0
wRGiFAK9U3J2bZdqaV999Q==,90.0,90.0
uchgSSX6nPxswHOBCU2rUQ==,109.0,100.0
od2lKECOMlWXhlOMrrjpQg==,90.0,90.0
l/WocIFok7nZdK7NLefSCg==,93.33,93.33
/9/0GSQNFtx15XiLpWmaTg==,92.84,92.84
FP4DQF1WtQZ4m+Vj/Z7WUA==,110.0,110.0
ONR3DLcK0NegLf4i+T3QmA==,110.0,100.0
c1yZhKAPvsDUDGvxNrRzZQ==,109.0,109.0
k+kPNCdFOaYbi11ASB9lZA==,90.0,90.0
7DmqYh9+UNzf5F1uGetWLg==,91.65,91.65
ZRUGJaOStwYyzUZTB9768A==,90.0,90.0
PzshciCoplGkw6fjkCA62w==,109.0,109.0
PHRE4Be9z4i5pIMMR8SWYQ==,91.0,91.0
JXlIX6dIOJDqECMubEoFXQ==,90.86,90.86
88iZTIqYft+HO8ZrdG0W4w==,90.0,90.0
8Hu2IgC/0Gpx0EHQFaT+Nw==,109.0,109.0
Er42sMKiQLRaXY+hMemUzw==,92.0,92.0
VgdZx6euAMPrvMwx50UNsA==,90.0,90.0
Oaa1jhxD5IlVJLTL0u+83Q==,90.0,90.0
9hgPPoOMyx7RlpfqmzdD2g==,91.0,91.0
YDvr7qDv49xxUacNGQj0Rw==,90.0,90.0
5v5TjEA/GfBGBXGCbWXFUg==,93.75,93.75
qTXuXLAb9b3K4UpKpG0NBQ==,91.0,100.0
015/V4NMbTt4NqHquyzHAQ==,11.289999999999841,11.289999999999841
f0Gc/JgtWthsx19Kjn6lSA==,91.67,100.0
5EWTF5hs/5vRXGdHHs95NQ==,110.0,110.0
XXpcLZtSkH1PRTyakQk+cg==,94.0,90.0
un8fvckxK/KcKXJ2EZA17A==,90.0,90.0
IS0bEfs7AtEHP8vHHq53Sg==,109.84,109.84
s1SfXJQ9JGl2aXsjC1pfcQ==,106.30000000000001,106.30000000000001
+Ua53uMdiqhutsLy82pt2Q==,109.0,109.0
9wBK6YHDyXlq/Ed6uElcJQ==,110.0,110.0
XHp4kp9jVOv9srVlIBsMYA==,92.18,92.18
jhzqKyitCesbX2Hxt2by9w==,91.0,100.0
IqYoVoJNWF0KhlKCZU5V4Q==,94.17999999999999,94.17999999999999
wRRotKNit3Zh60evI+Jyug==,90.91,90.91
2+WG3QWjEKerB5JpaarcDw==,92.84,92.84
0Z8FYOcGsQ3Ajk51wgTcSA==,90.0,90.0
ui7IiuCebgP3tzmH8+e9ow==,90.0,90.0
nvlZ0l32v+bMjYzBML14TQ==,91.0,91.0
5CWWWkzMIm1qx1ysBdK5EQ==,109.0,109.0
NnMpKKlcZZjZyJXOQeP76w==,90.0,90.0
WxBmQdVVfE/NZJpfSpsyTA==,93.26999999999998,93.26999999999998
OLW4XxSBtioFZeB7RGqzXA==,90.91,94.97
SWZUQ7h3O9KUk+S+HGM9Vg==,106.56999999999996,106.56999999999996
NB1/cznJ7an37L5GKEoF/Q==,90.0,90.0
J6y3j6U42YqA2CIuQm1hKw==,90.0,90.0
Y7jBUdU2yd+/vvjbhYxR2A==,90.0,90.0
q1GQgcMCwIblzUCD9SnABg==,93.74,93.74
GtORhAJyVJjxd8FnCqyTEw==,91.0,91.0
1dlFjOd2vfhLy1j1GSA77w==,90.0,90.0
1LlgPWRnIEbz7rbMjqswqw==,90.0,90.0
0PPhmbzz0B7CJXW+de0hNw==,93.0,93.0
SBrq4daPttLsB+VNoM81bA==,92.0,92.0
VxhNenFl3q8xfjHqfbm9iA==,91.0,91.0
oPrjshDvBxW6q4lBG26FOg==,109.0,109.0
lOxiMr4g75zln6+dnuTAnA==,92.52000000000001,92.52000000000001
ZxOT85WLr/IQQg8GvUl60A==,91.11,90.0
J3mFV/YXWz6au3X9HhcCGQ==,93.38000000000001,93.38000000000001
DBca1JG755RENOwum4y1kA==,90.0,90.0
oR5s/MHfHD9ySi9yZPD1/A==,110.0,110.0
55iVkC76U6O2NTb6u04G5Q==,90.0,100.0
6feFuATFtnVnRNd4xyOFRQ==,90.0,100.0
dPnAhS4Ld7WD4KET/tQPXw==,91.0,91.0
NbcA3d0dX6jmd1FP6F406w==,94.01999999999998,94.01999999999998
CrCWavn+H87TDr3QLgbAmg==,90.0,60.0
Ab4vrCQaOoNLBMRSqTwhOw==,90.0,90.0
qFrYryIPIe6heTQHz+M7Rw==,90.0,90.0
lRK9I77leupLzztR6FX0Dw==,110.0,110.0
Eo7GApZqo2L3XAcDEQ9kzg==,108.0,108.0
Y+JjoqSYh5XgsatnVarzJg==,94.0,94.0
zIPya1nbGw7KcBUlnpeRLw==,90.0,90.0
+kJeR5pIVj3GELhq4TbPbg==,90.0,90.0
aFX7xq+BfTUMpJkCkl7H9Q==,92.40000000000002,92.40000000000002
GSQRTN9R5P67OQ/Cc9ua5w==,105.66,100.0
9DP6CVeMzqGM5ngrTeQXSQ==,110.0,110.0
cQLLsIwdtzJfdIPU5AdoKQ==,90.0,90.0
/Gvld+1z7EANmZB5U3xzBQ==,91.0,91.0
moJu180iEASzVpBpUAgRzQ==,94.0,94.0
bw/gZfLuBieWZLAHs9Muow==,91.0,91.0
SB2LRoFxPwA9L0lSgjwuCA==,110.0,110.0
deKLWidJtIqePyBCd4b8LQ==,94.0,94.0
rJVhk25/ClLUXRzjNA64wA==,90.91,100.0
Lb2tQRQuCEvpm+2JoZhXpA==,110.0,110.0
Xk2USvJ9mLdqAVZW0v8UxQ==,90.89999999999998,90.89999999999998
wqiFoabHkxfhIL19TCk5xg==,108.54,99.99999999999999
1979f5ighmun33wbhvtCtg==,90.0,90.0
jOImF/06+e1mVRh9Que1sA==,90.0,100.0
nCbe/WWbdK0/A7CoOkqC3g==,90.0,90.0
BUEKcAdinxbDQjbpULjWPQ==,90.0,90.0
1W7y1FYEH1JxlmVNb64f9w==,91.0,91.0
syJvLmIfbdyKNxyOMgWVuQ==,91.0,91.0
W4uckEKIBdBAsoKUOM1Taw==,91.0,91.0
xDIxVhVqNHusX0Dv2TGooQ==,90.0,90.0
7TFiupjWVAgQsPjYiIgm+A==,90.0,90.0
bNNOdmVx2q97g1/Q8zt02A==,90.0,90.0
I2Cnd8KC4rJmW0qStMcnaA==,90.0,90.0
